,StartStopId,EndStopId,busTravelTime
129,S11,S5,221.47523584905662
130,S11,S6,218.40285568587456
131,S11,S7,220.6708640375739
132,S11,S8,216.7983962264151
133,S11,S9,219.82044540674298
134,S12,S10,235.559864573715
135,S12,S11,236.6040404040404
136,S12,S3,224.29623891901196
137,S12,S4,224.82489202983902
138,S12,S5,232.14295073375263
139,S12,S6,229.07057057057057
140,S12,S7,231.3385789222699
141,S12,S8,227.4661111111111
142,S12,S9,230.488160291439
143,S13,S10,230.41578642963685
144,S13,S11,231.45996225996225
145,S13,S12,230.12963459304922
146,S13,S3,219.1521607749338
147,S13,S4,219.68081388576087
148,S13,S5,226.99887258967448
149,S13,S6,223.92649242649242
150,S13,S7,226.19450077819175
151,S13,S8,222.32203296703295
152,S13,S9,225.34408214736084
153,S14,S10,225.30481406866448
154,S14,S11,226.34898989898988
155,S14,S12,225.01866223207685
156,S14,S13,223.35318704284222
157,S14,S3,214.04118841396146
158,S14,S4,214.56984152478853
159,S14,S5,221.8879002287021
160,S14,S6,218.81552006552005
161,S14,S7,221.0835284172194
162,S14,S8,217.2110606060606
163,S14,S9,220.23310978638847
164,S15,S10,226.08679027241982
165,S15,S11,227.13096610274525
166,S15,S12,225.8006384358322
167,S15,S13,224.13516324659759
168,S15,S14,228.16744857452184
169,S15,S3,214.82316461771683
170,S15,S4,215.3518177285439
171,S15,S5,222.66987643245747
172,S15,S6,219.5974962692754
173,S15,S7,221.86550462097478
174,S15,S8,217.99303680981598
175,S15,S9,221.01508599014383
176,S16,S10,226.7820867959372
177,S16,S11,227.82626262626263
178,S16,S12,226.4959349593496
179,S16,S13,224.83045977011494
180,S16,S14,228.86274509803923
181,S16,S15,229.4890965732087
182,S16,S3,215.51846114123418
183,S16,S4,216.04711425206125
184,S16,S5,223.36517295597486
185,S16,S6,220.2927927927928
186,S16,S7,222.56080114449213
187,S16,S8,218.68833333333333
188,S16,S9,221.71038251366122
189,S4,S3,204.37431699709003
190,S5,S3,217.20448264661053
191,S5,S4,217.7331357574376
192,S6,S3,205.34302254474295
193,S6,S4,205.87167565557002
194,S6,S5,213.18973435948362
195,S7,S3,213.10965610978764
196,S7,S4,213.6383092206147
197,S7,S5,220.9563679245283
198,S7,S6,217.88398776134625
199,S8,S3,221.98512780790085
200,S8,S4,222.51378091872792
201,S8,S5,229.8318396226415
202,S8,S6,226.75945945945944
203,S8,S7,229.0274678111588
204,S9,S3,212.64724902002206
205,S9,S4,213.17590213084912
206,S9,S5,220.49396083476273
207,S9,S6,217.42158067158067
208,S9,S7,219.68958902328
209,S9,S8,215.8171212121212
