,StartStopId,EndStopId,busTravelTime
177,S14,S7,216.89815075565568
178,S14,S8,218.55727236301715
179,S14,S9,221.54273310254808
180,S15,S10,209.10355276907
181,S15,S11,208.43486590038316
182,S15,S12,210.14895804130455
183,S15,S13,214.5857880776211
184,S15,S14,210.87680407916343
185,S15,S3,203.2390388516149
186,S15,S4,200.97868922681516
187,S15,S5,209.0014544573056
188,S15,S6,204.8181592656909
189,S15,S7,202.72522229451312
190,S15,S8,204.38434390187456
191,S15,S9,207.36980464140555
192,S16,S10,221.63757575757575
193,S16,S11,220.9688888888889
194,S16,S12,222.6829810298103
195,S16,S13,227.11981106612683
196,S16,S14,223.41082706766917
197,S16,S15,228.17287531806613
198,S16,S3,215.77306184012065
199,S16,S4,213.5127122153209
200,S16,S5,221.53547744581135
201,S16,S6,217.35218225419663
202,S16,S7,215.25924528301886
203,S16,S8,216.9183668903803
204,S16,S9,219.9038276299113
205,S17,S10,226.57355749273557
206,S17,S11,225.90487062404873
207,S17,S12,227.61896276497012
208,S17,S13,232.05579280128666
209,S17,S14,228.346808802829
210,S17,S15,233.10885705322596
211,S17,S16,229.5788605230386
212,S17,S3,220.70904357528048
213,S17,S4,218.44869395048073
214,S17,S5,226.47145918097118
215,S17,S6,222.28816398935646
216,S17,S7,220.19522701817868
217,S17,S8,221.85434862554013
218,S17,S9,224.83980936507112
219,S4,S3,214.40518305224188
220,S5,S3,224.58614360112696
221,S5,S4,222.3257939763272
222,S6,S3,223.37324202030084
223,S6,S4,221.1128923955011
224,S6,S5,229.13565762599154
225,S7,S3,222.9091112228367
226,S7,S4,220.64876159803697
227,S7,S5,228.67152682852742
228,S7,S6,224.4882316369127
229,S8,S3,220.276395173454
230,S8,S4,218.01604554865423
231,S8,S5,226.03881077914468
232,S8,S6,221.85551558752996
233,S8,S7,219.7625786163522
234,S9,S3,212.45313510019395
235,S9,S4,210.19278547539417
236,S9,S5,218.21555070588462
237,S9,S6,214.0322555142699
238,S9,S7,211.93931854309213
239,S9,S8,213.5984401504536
