id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
78,429,446,517,S3,S2,Red,0
80,429,446,517,S3,S1,Red,0
81,434,446,517,S3,S2,Red,0
82,434,446,517,S3,S1,Red,0
90,434,446,517,S3,S1,Red,0
91,441,446,517,S3,S2,Red,0
92,441,446,517,S3,S2,Red,0
97,441,446,517,S3,S1,Red,0
98,441,446,517,S3,S1,Red,0
100,441,446,517,S3,S2,Red,0
145,471,479,532,S2,S3,Red,0
154,474,479,532,S2,S3,Red,0
177,483,494,551,S1,S3,Red,0
178,483,494,551,S1,S3,Red,0
145,471,479,532,S2,S3,Red,0
150,471,479,532,S2,S1,Red,0
151,474,479,532,S2,S1,Red,0
154,474,479,532,S2,S3,Red,0
204,513,517,579,S3,S2,Red,0
210,513,517,579,S3,S2,Red,0
218,515,517,579,S3,S2,Red,0
41,420,461,537,S2,S1,Blue,0
58,424,461,537,S2,S3,Blue,0
66,426,461,537,S2,S1,Blue,0
112,446,461,537,S2,S3,Blue,0
116,446,461,537,S2,S3,Blue,0
120,446,461,537,S2,S1,Blue,0
124,458,461,537,S2,S3,Blue,0
88,434,474,550,S3,S2,Blue,0
93,441,474,550,S3,S2,Blue,0
94,441,474,550,S3,S2,Blue,0
99,441,474,550,S3,S2,Blue,0
118,446,474,550,S3,S2,Blue,0
135,461,474,550,S3,S2,Blue,0
137,461,513,578,S1,S2,Blue,0
197,498,513,578,S1,S2,Blue,0
95,441,483,540,S1,S3,Red,0
96,441,483,540,S1,S2,Red,0
101,446,483,540,S1,S3,Red,0
105,446,483,540,S1,S3,Red,0
110,446,483,540,S1,S2,Red,0
144,471,483,540,S1,S2,Red,0
149,471,483,540,S1,S3,Red,0
152,474,483,540,S1,S3,Red,0
157,474,483,540,S1,S3,Red,0
159,474,483,540,S1,S3,Red,0
161,479,483,540,S1,S3,Red,0
164,479,483,540,S1,S3,Red,0
165,479,483,540,S1,S3,Red,0
169,479,483,540,S1,S3,Red,0
170,479,483,540,S1,S3,Red,0
126,458,498,592,S3,S1,Red,0
129,458,498,592,S3,S1,Red,0
139,461,498,592,S3,S1,Red,0
142,471,498,592,S3,S1,Red,0
143,471,498,592,S3,S1,Red,0
156,474,498,592,S3,S1,Red,0
158,474,498,592,S3,S1,Red,0
176,483,498,592,S3,S1,Red,0
179,483,498,592,S3,S1,Red,0
183,494,498,592,S3,S1,Red,0
162,479,515,611,S2,S1,Red,0
200,498,515,611,S2,S1,Red,0
61,426,474,550,S3,S1,Blue,0
67,426,474,550,S3,S1,Blue,0
70,426,474,550,S3,S1,Blue,0
71,429,474,550,S3,S1,Blue,0
74,429,474,550,S3,S1,Blue,0
76,429,474,550,S3,S1,Blue,0
83,434,474,550,S3,S1,Blue,0
88,434,474,550,S3,S2,Blue,0
93,441,474,550,S3,S2,Blue,0
94,441,474,550,S3,S2,Blue,0
99,441,474,550,S3,S2,Blue,0
102,446,474,550,S3,S1,Blue,0
104,446,474,550,S3,S1,Blue,0
118,446,474,550,S3,S2,Blue,0
122,458,474,550,S3,S1,Blue,0
127,458,474,550,S3,S1,Blue,0
128,458,474,550,S3,S1,Blue,0
130,458,474,550,S3,S1,Blue,0
134,461,474,550,S3,S1,Blue,0
135,461,474,550,S3,S2,Blue,0
136,461,474,550,S3,S1,Blue,0
138,461,474,550,S3,S1,Blue,0
146,471,474,550,S3,S1,Blue,0
147,471,474,550,S3,S1,Blue,0
148,471,474,550,S3,S1,Blue,0
87,434,513,578,S1,S3,Blue,0
117,446,513,578,S1,S3,Blue,0
125,458,513,578,S1,S3,Blue,0
131,461,513,578,S1,S3,Blue,0
132,461,513,578,S1,S3,Blue,0
141,471,513,578,S1,S3,Blue,0
167,479,513,578,S1,S3,Blue,0
171,483,513,578,S1,S3,Blue,0
172,483,513,578,S1,S3,Blue,0
175,483,513,578,S1,S3,Blue,0
188,494,513,578,S1,S3,Blue,0
189,494,513,578,S1,S3,Blue,0
193,498,513,578,S1,S3,Blue,0
195,498,513,578,S1,S3,Blue,0
180,483,537,602,S2,S3,Blue,0
196,498,537,602,S2,S3,Blue,0
219,515,537,602,S2,S3,Blue,0
235,532,537,602,S2,S3,Blue,0
177,483,494,551,S1,S3,Red,0
178,483,494,551,S1,S3,Red,0
191,498,517,579,S3,S1,Red,0
199,498,517,579,S3,S1,Red,0
206,513,517,579,S3,S1,Red,0
213,515,517,579,S3,S1,Red,0
87,434,513,578,S1,S3,Blue,0
117,446,513,578,S1,S3,Blue,0
125,458,513,578,S1,S3,Blue,0
131,461,513,578,S1,S3,Blue,0
132,461,513,578,S1,S3,Blue,0
137,461,513,578,S1,S2,Blue,0
141,471,513,578,S1,S3,Blue,0
167,479,513,578,S1,S3,Blue,0
171,483,513,578,S1,S3,Blue,0
172,483,513,578,S1,S3,Blue,0
175,483,513,578,S1,S3,Blue,0
188,494,513,578,S1,S3,Blue,0
189,494,513,578,S1,S3,Blue,0
193,498,513,578,S1,S3,Blue,0
195,498,513,578,S1,S3,Blue,0
197,498,513,578,S1,S2,Blue,0
